Time (Date hh:mm:ss.ms),LEQ dB-A ,Lmax dB-A ,L10 dB-A ,L90 dB-A ,
2025/05/30 06:15:00.000,60.998932 ,74.230365 ,65.105365 ,49.155365 ,
2025/05/30 06:20:00.000,58.904361 ,72.330365 ,62.930365 ,50.642365 ,
2025/05/30 06:25:00.000,62.277485 ,74.130365 ,67.592865 ,49.992865 ,
2025/05/30 06:30:00.000,53.866363 ,65.330365 ,57.322865 ,43.602865 ,
2025/05/30 06:35:00.000,61.419958 ,72.330365 ,66.626365 ,50.786365 ,
2025/05/30 06:40:00.000,54.065488 ,68.230365 ,57.175365 ,47.975365 ,
2025/05/30 06:45:00.000,54.061897 ,66.830365 ,56.427865 ,48.762865 ,
2025/05/30 06:50:00.000,52.872097 ,63.630365 ,55.908865 ,48.428865 ,
2025/05/30 06:55:00.000,54.582837 ,65.130365 ,58.617865 ,48.706865 ,
2025/05/30 07:00:00.000,51.493891 ,59.130365 ,53.344865 ,49.088865 ,
2025/05/30 07:05:00.000,56.445771 ,73.130365 ,58.042865 ,46.832865 ,
2025/05/30 07:10:00.000,55.268949 ,70.130365 ,57.504865 ,50.013865 ,
2025/05/30 07:15:00.000,55.699855 ,69.730365 ,58.720365 ,50.580365 ,
2025/05/30 07:20:00.000,53.679302 ,68.130365 ,55.921865 ,48.512865 ,
2025/05/30 07:25:00.000,55.900968 ,68.530365 ,59.579865 ,48.464865 ,
2025/05/30 07:30:00.000,56.055435 ,71.830365 ,59.757865 ,48.375865 ,
2025/05/30 07:35:00.000,54.615657 ,65.630365 ,57.817865 ,47.689865 ,
2025/05/30 07:40:00.000,59.055755 ,74.730365 ,61.826365 ,49.154365 ,
2025/05/30 07:45:00.000,56.294322 ,67.130365 ,59.567865 ,49.617865 ,
2025/05/30 07:50:00.000,53.132594 ,65.230365 ,55.365365 ,47.875365 ,
2025/05/30 07:55:00.000,52.367734 ,62.230365 ,54.430865 ,48.919865 ,
2025/05/30 08:00:00.000,54.223209 ,69.530365 ,57.376365 ,48.348365 ,
2025/05/30 08:05:00.000,53.940397 ,67.830365 ,56.221365 ,49.319365 ,
2025/05/30 08:10:00.000,54.002907 ,69.130365 ,57.028865 ,44.833865 ,
2025/05/30 08:15:00.000,54.391949 ,70.930365 ,58.138865 ,47.647865 ,
2025/05/30 08:20:00.000,64.347323 ,86.430365 ,57.930365 ,49.130365 ,
2025/05/30 08:25:00.000,53.962989 ,63.430365 ,56.991865 ,48.576865 ,
2025/05/30 08:30:00.000,55.220077 ,70.330365 ,57.735365 ,49.881365 ,
2025/05/30 08:35:00.000,54.453918 ,68.430365 ,57.688865 ,48.791865 ,
2025/05/30 08:40:00.000,52.497893 ,61.830365 ,54.876865 ,48.519865 ,
2025/05/30 08:45:00.000,55.256375 ,67.830365 ,58.721365 ,48.659365 ,
2025/05/30 08:50:00.000,54.438921 ,66.930365 ,56.840365 ,48.272365 ,
2025/05/30 08:55:00.000,54.557770 ,68.430365 ,56.765865 ,49.666865 ,
2025/05/30 09:00:00.000,55.590627 ,68.730365 ,58.247365 ,48.981365 ,
2025/05/30 09:05:00.000,54.412437 ,67.530365 ,56.652865 ,49.267865 ,
2025/05/30 09:10:00.000,55.466184 ,69.930365 ,58.978365 ,49.698365 ,
2025/05/30 09:15:00.000,56.203897 ,68.130365 ,58.825365 ,50.113365 ,
2025/05/30 09:20:00.000,58.392978 ,72.030365 ,62.251365 ,50.785365 ,
2025/05/30 09:25:00.000,56.188664 ,69.730365 ,59.595365 ,49.015365 ,
2025/05/30 09:30:00.000,53.911016 ,66.130365 ,57.161865 ,47.375865 ,
2025/05/30 09:35:00.000,55.804488 ,67.730365 ,59.292865 ,49.402865 ,
2025/05/30 09:40:00.000,54.909315 ,67.430365 ,57.972865 ,49.587865 ,
2025/05/30 09:45:00.000,54.363172 ,64.130365 ,57.278865 ,50.011865 ,
2025/05/30 09:50:00.000,54.612914 ,69.130365 ,57.881365 ,48.053365 ,
2025/05/30 09:55:00.000,55.665351 ,72.430365 ,58.517865 ,48.617865 ,
2025/05/30 10:00:00.000,57.700661 ,71.130365 ,61.217365 ,50.117365 ,
2025/05/30 10:05:00.000,57.331282 ,70.130365 ,61.170365 ,50.266365 ,
2025/05/30 10:10:00.000,59.803196 ,77.130365 ,62.682865 ,50.397865 ,
2025/05/30 10:15:00.000,57.590782 ,78.830365 ,59.230865 ,49.022865 ,
